key,real,imag
64_64,-0.000001,0.000004
64_128,-0.000001,0.000007
64_192,-0.000001,0.000007
64_256,-0.000001,0.000010
64_320,-0.000001,0.000015
64_384,-0.000001,0.000012
64_448,-0.000001,0.000011
64_512,-0.000001,0.000013
64_576,-0.000001,0.000010
64_640,-0.000001,0.000011
64_704,-0.000001,0.000020
64_768,-0.000000,0.000022
64_832,-0.000001,0.000015
64_896,-0.000000,0.000009
64_960,0.000000,0.000010
64_1024,0.000001,0.000013
64_1088,0.000002,0.000017
64_1152,0.000003,0.000018
64_1216,0.000003,0.000012
64_1280,0.000003,0.000005
64_1344,0.000003,0.000007
64_1408,0.000003,0.000013
64_1472,0.000004,0.000014
64_1536,0.000004,0.000010
64_1600,0.000004,0.000011
64_1664,0.000004,0.000010
64_1728,0.000004,0.000007
64_1792,0.000004,0.000012
64_1856,0.000003,0.000015
64_1920,0.000003,0.000015
64_1984,0.000003,0.000018
64_2048,0.000003,0.000022
128_64,-0.000001,0.000007
128_128,-0.000001,0.000009
128_192,-0.000001,0.000004
128_256,-0.000001,0.000007
128_320,-0.000001,0.000009
128_384,-0.000000,0.000000
128_448,0.000000,-0.000007
128_512,0.000000,-0.000010
128_576,0.000000,-0.000014
128_640,0.000000,-0.000008
128_704,0.000000,0.000002
128_768,0.000000,0.000004
128_832,0.000000,0.000001
128_896,0.000001,0.000001
128_960,0.000002,-0.000001
128_1024,0.000003,-0.000011
128_1088,0.000003,-0.000021
128_1152,0.000005,-0.000023
128_1216,0.000006,-0.000024
128_1280,0.000006,-0.000027
128_1344,0.000006,-0.000025
128_1408,0.000006,-0.000015
128_1472,0.000006,-0.000011
128_1536,0.000006,-0.000016
128_1600,0.000006,-0.000020
128_1664,0.000006,-0.000026
128_1728,0.000007,-0.000034
128_1792,0.000007,-0.000031
128_1856,0.000007,-0.000029
128_1920,0.000007,-0.000034
128_1984,0.000007,-0.000032
128_2048,0.000006,-0.000024
192_64,-0.000001,0.000007
192_128,-0.000001,0.000004
192_192,-0.000000,-0.000001
192_256,-0.000000,0.000004
192_320,-0.000000,0.000006
192_384,0.000000,-0.000001
192_448,0.000001,-0.000014
192_512,0.000001,-0.000027
192_576,0.000001,-0.000033
192_640,0.000001,-0.000038
192_704,0.000001,-0.000049
192_768,0.000001,-0.000061
192_832,0.000003,-0.000065
192_896,0.000007,-0.000064
192_960,0.000011,-0.000063
192_1024,0.000016,-0.000067
192_1088,0.000020,-0.000072
192_1152,0.000024,-0.000074
192_1216,0.000028,-0.000076
