key,real,imag
256_256,-0.000001,0.000014
256_512,0.000000,-0.000006
256_768,0.000001,-0.000051
256_1024,0.000022,-0.000045
256_1280,0.000042,-0.000052
256_1536,0.000043,-0.000098
256_1792,0.000044,-0.000118
256_2048,0.000043,-0.000103
512_256,0.000000,-0.000006
512_512,0.000003,-0.000017
512_768,0.000017,-0.000149
512_1024,0.000102,0.000540
512_1280,0.000189,0.001136
512_1536,0.000203,0.000990
512_1792,0.000205,0.000993
512_2048,0.000206,0.000986
768_256,0.000001,-0.000053
768_512,0.000003,-0.000148
768_768,0.000073,0.000430
768_1024,-0.000196,0.000173
768_1280,-0.000464,-0.000018
768_1536,-0.000389,0.000305
768_1792,-0.000386,0.000205
768_2048,-0.000385,0.000151
1024_256,-0.000018,-0.000045
1024_512,-0.000061,0.000584
1024_768,-0.000128,-0.000049
1024_1024,-0.004698,-0.026481
1024_1280,-0.009254,-0.050517
1024_1536,-0.009332,-0.050728
1024_1792,-0.009371,-0.050278
1024_2048,-0.009389,-0.050344
1280_256,-0.000036,-0.000036
1280_512,-0.000126,0.001314
1280_768,-0.000328,-0.000509
1280_1024,-0.009144,-0.052757
1280_1280,-0.017936,-0.100305
1280_1536,-0.018166,-0.101037
1280_1792,-0.018247,-0.100038
1280_2048,-0.018283,-0.100116
1536_256,-0.000036,-0.000083
1536_512,-0.000125,0.001181
1536_768,-0.000271,0.000065
1536_1024,-0.009444,-0.053137
1536_1280,-0.018592,-0.101476
1536_1536,-0.018760,-0.101742
1536_1792,-0.018842,-0.100848
1536_2048,-0.018877,-0.100972
1792_256,-0.000035,-0.000103
1792_512,-0.000123,0.001171
1792_768,-0.000256,-0.000033
1792_1024,-0.009363,-0.052558
1792_1280,-0.018444,-0.100301
1792_1536,-0.018600,-0.100667
1792_1792,-0.018680,-0.099750
1792_2048,-0.018714,-0.099895
2048_256,-0.000036,-0.000089
2048_512,-0.000122,0.001165
2048_768,-0.000254,-0.000084
2048_1024,-0.009341,-0.052603
2048_1280,-0.018402,-0.100352
2048_1536,-0.018557,-0.100764
2048_1792,-0.018636,-0.099867
2048_2048,-0.018671,-0.099998
