key,real,imag
128_128,-0.000001,0.000009
128_256,-0.000001,0.000007
128_384,-0.000000,0.000000
128_512,0.000000,-0.000010
128_640,0.000000,-0.000008
128_768,0.000000,0.000004
128_896,0.000001,0.000001
128_1024,0.000003,-0.000011
128_1152,0.000005,-0.000023
128_1280,0.000006,-0.000027
128_1408,0.000006,-0.000015
128_1536,0.000006,-0.000016
128_1664,0.000006,-0.000026
128_1792,0.000007,-0.000031
128_1920,0.000007,-0.000034
128_2048,0.000006,-0.000024
256_128,-0.000001,0.000007
256_256,-0.000001,0.000014
256_384,-0.000000,0.000016
256_512,0.000000,-0.000006
256_640,0.000000,-0.000017
256_768,0.000001,-0.000051
256_896,0.000008,-0.000073
256_1024,0.000022,-0.000045
256_1152,0.000036,-0.000023
256_1280,0.000042,-0.000052
256_1408,0.000043,-0.000086
256_1536,0.000043,-0.000098
256_1664,0.000044,-0.000121
256_1792,0.000044,-0.000118
256_1920,0.000044,-0.000111
256_2048,0.000043,-0.000103
384_128,0.000000,0.000000
384_256,0.000000,0.000015
384_384,0.000002,0.000019
384_512,0.000002,0.000004
384_640,0.000003,-0.000033
384_768,0.000009,-0.000070
384_896,0.000034,-0.000004
384_1024,0.000066,0.000150
384_1152,0.000099,0.000290
384_1280,0.000124,0.000321
384_1408,0.000131,0.000269
384_1536,0.000131,0.000239
384_1664,0.000131,0.000224
384_1792,0.000133,0.000235
384_1920,0.000133,0.000250
384_2048,0.000133,0.000251
512_128,0.000000,-0.000009
512_256,0.000000,-0.000006
512_384,0.000002,0.000005
512_512,0.000003,-0.000017
512_640,0.000003,-0.000105
512_768,0.000017,-0.000149
512_896,0.000065,0.000156
512_1024,0.000102,0.000540
512_1152,0.000140,0.000904
512_1280,0.000189,0.001136
512_1408,0.000203,0.001059
512_1536,0.000203,0.000990
512_1664,0.000204,0.000973
512_1792,0.000205,0.000993
512_1920,0.000205,0.000994
512_2048,0.000206,0.000986
640_128,-0.000001,-0.000009
640_256,-0.000000,-0.000016
640_384,0.000004,-0.000030
640_512,0.000007,-0.000103
640_640,0.000008,-0.000258
640_768,0.000032,-0.000255
640_896,0.000061,0.000110
640_1024,0.000036,0.000485
640_1152,0.000012,0.000862
640_1280,0.000042,0.001172
640_1408,0.000068,0.001110
640_1536,0.000068,0.000984
640_1664,0.000070,0.000928
640_1792,0.000074,0.000930
640_1920,0.000075,0.000920
640_2048,0.000074,0.000913
768_128,-0.000001,0.000002
768_256,0.000001,-0.000053
768_384,0.000001,-0.000070
768_512,0.000003,-0.000148
768_640,0.000006,-0.000253
768_768,0.000073,0.000430
768_896,0.000084,0.001041
768_1024,-0.000196,0.000173
768_1152,-0.000477,-0.000583
768_1280,-0.000464,-0.000018
768_1408,-0.000392,0.000417
768_1536,-0.000389,0.000305
768_1664,-0.000386,0.000222
768_1792,-0.000386,0.000205
768_1920,-0.000384,0.000148
768_2048,-0.000385,0.000151
896_128,-0.000002,-0.000002
896_256,-0.000004,-0.000077
896_384,-0.000019,0.000000
896_512,-0.000026,0.000174
896_640,-0.000025,0.000119
896_768,0.000032,0.001040
896_896,-0.000182,0.000643
896_1024,-0.001072,-0.002688
896_1152,-0.001968,-0.005651
896_1280,-0.002178,-0.005833
896_1408,-0.002117,-0.005141
896_1536,-0.002118,-0.005163
896_1664,-0.002123,-0.005065
896_1792,-0.002136,-0.005032
896_1920,-0.002139,-0.005113
896_2048,-0.002141,-0.005115
1024_128,-0.000003,-0.000015
1024_256,-0.000018,-0.000045
1024_384,-0.000048,0.000172
1024_512,-0.000061,0.000584
1024_640,-0.000067,0.000469
1024_768,-0.000128,-0.000049
1024_896,-0.000868,-0.003119
1024_1024,-0.004698,-0.026481
1024_1152,-0.008507,-0.048375
1024_1280,-0.009254,-0.050517
1024_1408,-0.009323,-0.050772
1024_1536,-0.009332,-0.050728
1024_1664,-0.009343,-0.050414
1024_1792,-0.009371,-0.050278
1024_1920,-0.009386,-0.050330
1024_2048,-0.009389,-0.050344
1152_128,-0.000004,-0.000027
1152_256,-0.000031,-0.000012
1152_384,-0.000076,0.000344
1152_512,-0.000097,0.000994
1152_640,-0.000109,0.000819
1152_768,-0.000287,-0.001125
1152_896,-0.001555,-0.006892
1152_1024,-0.008280,-0.049970
1152_1152,-0.014959,-0.090497
1152_1280,-0.016244,-0.094620
1152_1408,-0.016442,-0.095813
1152_1536,-0.016460,-0.095702
1152_1664,-0.016477,-0.095173
1152_1792,-0.016520,-0.094934
1152_1920,-0.016546,-0.094957
1152_2048,-0.016550,-0.094982
1280_128,-0.000005,-0.000031
1280_256,-0.000036,-0.000036
1280_384,-0.000096,0.000413
1280_512,-0.000126,0.001314
1280_640,-0.000140,0.001191
1280_768,-0.000328,-0.000509
1280_896,-0.001814,-0.007240
1280_1024,-0.009144,-0.052757
1280_1152,-0.016433,-0.095471
1280_1280,-0.017936,-0.100305
1280_1408,-0.018145,-0.101238
1280_1536,-0.018166,-0.101037
1280_1664,-0.018191,-0.100327
1280_1792,-0.018247,-0.100038
1280_1920,-0.018278,-0.100086
1280_2048,-0.018283,-0.100116
1408_128,-0.000005,-0.000020
1408_256,-0.000035,-0.000073
1408_384,-0.000099,0.000373
1408_512,-0.000129,0.001266
1408_640,-0.000141,0.001191
1408_768,-0.000287,0.000170
1408_896,-0.001792,-0.006321
1408_1024,-0.009378,-0.053085
1408_1152,-0.016925,-0.096934
1408_1280,-0.018446,-0.101518
1408_1408,-0.018608,-0.101956
1408_1536,-0.018626,-0.101742
1408_1664,-0.018651,-0.101061
1408_1792,-0.018711,-0.100792
1408_1920,-0.018740,-0.100887
1408_2048,-0.018746,-0.100906
1536_128,-0.000006,-0.000019
1536_256,-0.000036,-0.000083
1536_384,-0.000097,0.000338
1536_512,-0.000125,0.001181
1536_640,-0.000137,0.001039
1536_768,-0.000271,0.000065
1536_896,-0.001795,-0.006365
1536_1024,-0.009444,-0.053137
1536_1152,-0.017053,-0.096971
1536_1280,-0.018592,-0.101476
1536_1408,-0.018743,-0.101898
1536_1536,-0.018760,-0.101742
1536_1664,-0.018784,-0.101099
1536_1792,-0.018842,-0.100848
1536_1920,-0.018870,-0.100953
1536_2048,-0.018877,-0.100972
1664_128,-0.000006,-0.000029
1664_256,-0.000036,-0.000105
1664_384,-0.000097,0.000323
1664_512,-0.000125,0.001160
1664_640,-0.000136,0.000967
1664_768,-0.000264,-0.000015
1664_896,-0.001765,-0.006208
1664_1024,-0.009408,-0.052751
1664_1152,-0.017011,-0.096362
1664_1280,-0.018527,-0.100669
1664_1408,-0.018670,-0.101116
1664_1536,-0.018688,-0.100999
1664_1664,-0.018711,-0.100358
1664_1792,-0.018769,-0.100098
1664_1920,-0.018797,-0.100217
1664_2048,-0.018804,-0.100245
1792_128,-0.000005,-0.000036
1792_256,-0.000035,-0.000103
1792_384,-0.000095,0.000327
1792_512,-0.000123,0.001171
1792_640,-0.000134,0.000953
1792_768,-0.000256,-0.000033
1792_896,-0.001739,-0.006140
1792_1024,-0.009363,-0.052558
1792_1152,-0.016948,-0.096052
1792_1280,-0.018444,-0.100301
1792_1408,-0.018582,-0.100766
1792_1536,-0.018600,-0.100667
1792_1664,-0.018624,-0.100017
1792_1792,-0.018680,-0.099750
1792_1920,-0.018709,-0.099861
1792_2048,-0.018714,-0.099895
1920_128,-0.000005,-0.000038
1920_256,-0.000035,-0.000096
1920_384,-0.000095,0.000343
1920_512,-0.000122,0.001174
1920_640,-0.000134,0.000943
1920_768,-0.000255,-0.000090
1920_896,-0.001732,-0.006215
1920_1024,-0.009344,-0.052593
1920_1152,-0.016917,-0.096054
1920_1280,-0.018408,-0.100326
1920_1408,-0.018544,-0.100838
1920_1536,-0.018563,-0.100750
1920_1664,-0.018586,-0.100114
1920_1792,-0.018643,-0.099838
1920_1920,-0.018671,-0.099940
1920_2048,-0.018677,-0.099976
2048_128,-0.000006,-0.000029
2048_256,-0.000036,-0.000089
2048_384,-0.000095,0.000343
2048_512,-0.000122,0.001165
2048_640,-0.000134,0.000935
2048_768,-0.000254,-0.000084
2048_896,-0.001731,-0.006213
2048_1024,-0.009341,-0.052603
2048_1152,-0.016912,-0.096075
2048_1280,-0.018402,-0.100352
2048_1408,-0.018539,-0.100852
2048_1536,-0.018557,-0.100764
2048_1664,-0.018580,-0.100138
2048_1792,-0.018636,-0.099867
2048_1920,-0.018664,-0.099971
2048_2048,-0.018671,-0.099998
