LUT Construction Naïve Aprooach,,,Updated Method,,,Error Comparison,,,,,,
key,real,imag,key,real,imag,,,key,real,imag,,
512_512,0.000003,-0.000017,512_512,0.000003,-0.000017,0,0,512_512,0.000003,-0.000017,0,0
512_1024,0.000102,0.000549,512_1024,0.000102,0.000546,0,3.00E-06,512_1024,0.000102,0.000549,0,0
512_1536,0.000202,0.001002,512_1536,0.000202,0.000999,0,3.00E-06,512_1536,0.000202,0.001002,0,0
512_2048,0.000205,0.000997,512_2048,0.000205,0.000995,0,2.00E-06,512_2048,0.000205,0.000998,0,-1.00E-06
1024_512,-0.000062,0.000593,1024_512,-0.000062,0.000587,0,6.00E-06,1024_512,-0.000062,0.000592,0,1.00E-06
1024_1024,-0.004809,-0.027192,1024_1024,-0.004752,-0.026834,-5.70E-05,-0.000358,1024_1024,-0.004809,-0.027181,0,-1.10E-05
1024_1536,-0.009439,-0.051414,1024_1536,-0.009382,-0.05105,-5.70E-05,-0.000364,1024_1536,-0.00944,-0.05139,1.00E-06,-2.40E-05
1024_2048,-0.009496,-0.051033,1024_2048,-0.009439,-0.050669,-5.70E-05,-0.000364,1024_2048,-0.009497,-0.051009,1.00E-06,-2.40E-05
1536_512,-0.000126,0.001193,1536_512,-0.000125,0.001181,-1.00E-06,1.20E-05,1536_512,-0.000126,0.001192,0,1.00E-06
1536_1024,-0.009557,-0.053822,1536_1024,-0.009444,-0.053118,-0.000113,-0.000704,1536_1024,-0.009557,-0.053798,0,-2.40E-05
1536_1536,-0.018761,-0.101718,1536_1536,-0.018649,-0.101002,-0.000112,-0.000716,1536_1536,-0.018763,-0.101669,2.00E-06,-4.90E-05
1536_2048,-0.018877,-0.100959,1536_2048,-0.018766,-0.100244,-0.000111,-0.000715,1536_2048,-0.018879,-0.100911,2.00E-06,-4.80E-05
2048_512,-0.000123,0.001176,2048_512,-0.000122,0.001165,-1.00E-06,1.10E-05,2048_512,-0.000123,0.001177,0,-1.00E-06
2048_1024,-0.009454,-0.053292,2048_1024,-0.009342,-0.05259,-0.000112,-0.000702,2048_1024,-0.009455,-0.053267,1.00E-06,-2.50E-05
2048_1536,-0.018557,-0.100752,2048_1536,-0.018446,-0.100039,-0.000111,-0.000713,2048_1536,-0.018559,-0.100704,2.00E-06,-4.80E-05
2048_2048,-0.018671,-0.099998,2048_2048,-0.018559,-0.099284,-0.000112,-0.000714,2048_2048,-0.018673,-0.099949,2.00E-06,-4.90E-05
,,,,,,,,,,,6.875E-07,-0.000018875
