small tile,,,Original,,,error,,,
key,real,imag,key,real,imag,real Err,img Err,,
128_128,-0.000001,0.000009,128_128,-0.000001,0.000009,0,0,,
128_256,-0.000001,0.000007,128_256,-0.000001,0.000007,0,0,,
128_384,0,0,128_384,0,0,0,0,,
128_512,0,-0.00001,128_512,0,-0.00001,0,0,,
128_640,0,-0.000009,128_640,0,-0.000009,0,0,,
128_768,0,0.000003,128_768,0,0.000003,0,0,,
128_896,0.000002,0,128_896,0.000001,0,0.000001,0,,
128_1024,0.000003,-0.000012,128_1024,0.000003,-0.000012,0,0,,
128_1152,0.000005,-0.000024,128_1152,0.000005,-0.000024,0,0,,
128_1280,0.000006,-0.000029,128_1280,0.000006,-0.000029,0,0,,
128_1408,0.000006,-0.000017,128_1408,0.000006,-0.000017,0,0,,
128_1536,0.000006,-0.000018,128_1536,0.000006,-0.000018,0,0,,
128_1664,0.000006,-0.000029,128_1664,0.000006,-0.000028,0,-0.000001,,
128_1792,0.000007,-0.000033,128_1792,0.000007,-0.000033,0,0,,
128_1920,0.000007,-0.000036,128_1920,0.000007,-0.000036,0,0,,
128_2048,0.000006,-0.000026,128_2048,0.000006,-0.000027,0,0.000001,,
256_128,-0.000001,0.000007,256_128,-0.000001,0.000007,0,0,,
256_256,-0.000001,0.000014,256_256,-0.000001,0.000014,0,0,,
256_384,0,0.000016,256_384,0,0.000016,0,0,,
256_512,0,-0.000006,256_512,0,-0.000006,0,0,,
256_640,0,-0.000017,256_640,0,-0.000017,0,0,,
256_768,0.000001,-0.000052,256_768,0.000001,-0.000051,0,-1E-06,,
256_896,0.000008,-0.000074,256_896,0.000008,-0.000073,0,-1E-06,,
256_1024,0.000022,-0.000047,256_1024,0.000022,-0.000045,0,-2E-06,,
256_1152,0.000036,-0.000025,256_1152,0.000036,-0.000023,0,-0.000002,,
256_1280,0.000042,-0.000056,256_1280,0.000042,-0.000053,0,-0.000003,,
256_1408,0.000043,-0.00009,256_1408,0.000043,-0.000087,0,-3E-06,,
256_1536,0.000043,-0.000102,256_1536,0.000043,-0.000099,0,-3E-06,,
256_1664,0.000044,-0.000125,256_1664,0.000044,-0.000122,0,-3E-06,,
256_1792,0.000044,-0.000121,256_1792,0.000044,-0.000118,0,-3E-06,,
256_1920,0.000044,-0.000115,256_1920,0.000044,-0.000111,0,-0.000004,,
256_2048,0.000044,-0.000107,256_2048,0.000043,-0.000104,1E-06,-3E-06,,
384_128,0,0,384_128,0,0,0,0,,
384_256,0,0.000015,384_256,0,0.000016,0,-1E-06,,
384_384,0.000002,0.000019,384_384,0.000002,0.000019,0,0,,
384_512,0.000003,0.000004,384_512,0.000003,0.000004,0,0,,
384_640,0.000003,-0.000034,384_640,0.000003,-0.000033,0,-1E-06,,
384_768,0.000009,-0.000071,384_768,0.000009,-0.000071,0,0,,
384_896,0.000035,-0.000003,384_896,0.000034,-0.000001,1E-06,-0.000002,,
384_1024,0.000067,0.000152,384_1024,0.000066,0.000153,1E-06,-1E-06,,
384_1152,0.000099,0.000293,384_1152,0.000099,0.000293,0,0,,
384_1280,0.000125,0.000323,384_1280,0.000124,0.000325,1E-06,-2E-06,,
384_1408,0.000131,0.000271,384_1408,0.000131,0.000273,0,-2E-06,,
384_1536,0.000131,0.000241,384_1536,0.000131,0.000243,0,-2E-06,,
384_1664,0.000132,0.000226,384_1664,0.000131,0.000228,1E-06,-2E-06,,
384_1792,0.000134,0.000238,384_1792,0.000133,0.000239,1E-06,-1E-06,,
384_1920,0.000133,0.000252,384_1920,0.000133,0.000253,0,-1E-06,,
384_2048,0.000134,0.000254,384_2048,0.000133,0.000254,1E-06,0,,
512_128,0,-0.00001,512_128,0,-0.00001,0,0,,
512_256,0,-0.000006,512_256,0,-0.000006,0,0,,
512_384,0.000002,0.000005,512_384,0.000002,0.000005,0,0,,
512_512,0.000003,-0.000018,512_512,0.000003,-0.000017,0,-0.000001,,
512_640,0.000003,-0.000108,512_640,0.000003,-0.000107,0,-1E-06,,
512_768,0.000018,-0.00015,512_768,0.000017,-0.000148,0.000001,-2E-06,,
512_896,0.000066,0.000164,512_896,0.000065,0.000164,1E-06,0,,
512_1024,0.000102,0.000552,512_1024,0.000102,0.000549,0,3E-06,,
512_1152,0.00014,0.000921,512_1152,0.000139,0.000915,1E-06,6E-06,,
512_1280,0.000189,0.001155,512_1280,0.000188,0.001148,1E-06,7E-06,,
512_1408,0.000204,0.001077,512_1408,0.000203,0.00107,1E-06,7E-06,,
512_1536,0.000203,0.001009,512_1536,0.000202,0.001002,1E-06,7E-06,,
512_1664,0.000204,0.00099,512_1664,0.000203,0.000984,1E-06,6E-06,,
512_1792,0.000206,0.001011,512_1792,0.000205,0.001005,1E-06,6E-06,,
512_1920,0.000206,0.001011,512_1920,0.000205,0.001005,1E-06,6E-06,,
512_2048,0.000206,0.001004,512_2048,0.000205,0.000997,1E-06,7E-06,,
640_128,-0.000001,-0.000009,640_128,-0.000001,-0.000009,0,0,,
640_256,0,-0.000017,640_256,0,-0.000016,0,-0.000001,,
640_384,0.000004,-0.000031,640_384,0.000004,-0.000031,0,0,,
640_512,0.000007,-0.000106,640_512,0.000007,-0.000105,0,-1E-06,,
640_640,0.000008,-0.000265,640_640,0.000008,-0.000262,0,-3E-06,,
640_768,0.000034,-0.000256,640_768,0.000033,-0.000253,1E-06,-3E-06,,
640_896,0.000063,0.00012,640_896,0.000062,0.000116,1E-06,0.000004,,
640_1024,0.000036,0.0005,640_1024,0.000036,0.000491,0,0.000009,,
640_1152,0.00001,0.000882,640_1152,0.00001,0.000868,0,0.000014,,
640_1280,0.000041,0.001199,640_1280,0.000042,0.001179,-1E-06,2E-05,,
640_1408,0.000067,0.001134,640_1408,0.000067,0.001115,0,1.9E-05,,
640_1536,0.000067,0.001006,640_1536,0.000067,0.000988,0,0.000018,,
