key,real,imag
1_1,-0.000000,0.000000
1_2,-0.000000,0.000000
1_3,-0.000000,0.000000
1_4,-0.000000,0.000000
1_5,-0.000000,0.000000
1_6,-0.000000,0.000000
1_7,-0.000000,0.000000
1_8,-0.000000,0.000000
1_9,-0.000000,0.000000
1_10,-0.000000,0.000000
1_11,-0.000000,0.000000
1_12,-0.000000,0.000000
1_13,-0.000000,0.000000
1_14,-0.000000,0.000000
1_15,-0.000000,0.000000
1_16,-0.000000,0.000000
1_17,-0.000000,0.000000
1_18,-0.000000,0.000000
1_19,-0.000000,0.000000
1_20,-0.000000,0.000000
1_21,-0.000000,0.000000
1_22,-0.000000,0.000000
1_23,-0.000000,0.000000
1_24,-0.000000,0.000000
1_25,-0.000000,0.000000
1_26,-0.000000,0.000000
1_27,-0.000000,0.000000
1_28,-0.000000,0.000000
1_29,-0.000000,0.000000
1_30,-0.000000,0.000000
1_31,-0.000000,0.000000
1_32,-0.000000,0.000000
1_33,-0.000000,0.000000
1_34,-0.000000,0.000000
