key,real,imag
128_128,-0.000001,0.000009
128_256,-0.000001,0.000007
128_384,-0.000000,-0.000000
128_512,0.000000,-0.000010
128_640,0.000000,-0.000009
128_768,0.000000,0.000003
128_896,0.000002,-0.000000
128_1024,0.000003,-0.000012
128_1152,0.000005,-0.000024
128_1280,0.000006,-0.000029
128_1408,0.000006,-0.000017
128_1536,0.000006,-0.000018
128_1664,0.000006,-0.000029
128_1792,0.000007,-0.000033
128_1920,0.000007,-0.000036
128_2048,0.000006,-0.000026
256_128,-0.000001,0.000007
256_256,-0.000001,0.000014
256_384,-0.000000,0.000016
256_512,0.000000,-0.000006
256_640,0.000000,-0.000017
256_768,0.000001,-0.000051
256_896,0.000008,-0.000074
256_1024,0.000022,-0.000045
256_1152,0.000036,-0.000025
256_1280,0.000042,-0.000053
256_1408,0.000043,-0.000090
256_1536,0.000043,-0.000099
256_1664,0.000044,-0.000125
256_1792,0.000044,-0.000118
256_1920,0.000044,-0.000115
256_2048,0.000043,-0.000103
384_128,0.000000,-0.000000
384_256,0.000000,0.000015
384_384,0.000002,0.000019
384_512,0.000003,0.000004
384_640,0.000003,-0.000034
384_768,0.000009,-0.000071
384_896,0.000035,-0.000003
384_1024,0.000067,0.000152
384_1152,0.000099,0.000293
384_1280,0.000125,0.000323
384_1408,0.000131,0.000271
384_1536,0.000131,0.000241
384_1664,0.000132,0.000226
384_1792,0.000134,0.000238
384_1920,0.000133,0.000252
384_2048,0.000134,0.000254
512_128,0.000000,-0.000010
512_256,0.000000,-0.000006
512_384,0.000002,0.000005
512_512,0.000003,-0.000017
512_640,0.000003,-0.000108
512_768,0.000017,-0.000147
512_896,0.000066,0.000164
512_1024,0.000102,0.000549
512_1152,0.000140,0.000921
512_1280,0.000189,0.001148
512_1408,0.000204,0.001077
512_1536,0.000202,0.001002
512_1664,0.000204,0.000990
512_1792,0.000205,0.001007
512_1920,0.000206,0.001011
512_2048,0.000205,0.000998
640_128,-0.000001,-0.000009
640_256,-0.000000,-0.000017
640_384,0.000004,-0.000031
640_512,0.000007,-0.000106
640_640,0.000008,-0.000265
640_768,0.000034,-0.000256
640_896,0.000063,0.000120
640_1024,0.000036,0.000500
640_1152,0.000010,0.000882
640_1280,0.000041,0.001199
640_1408,0.000067,0.001134
640_1536,0.000067,0.001006
640_1664,0.000070,0.000949
640_1792,0.000074,0.000953
640_1920,0.000074,0.000941
640_2048,0.000074,0.000935
768_128,-0.000001,0.000001
768_256,0.000001,-0.000053
768_384,0.000001,-0.000071
768_512,0.000003,-0.000146
768_640,0.000007,-0.000253
768_768,0.000074,0.000444
768_896,0.000086,0.001071
768_1024,-0.000198,0.000195
768_1152,-0.000480,-0.000539
768_1280,-0.000460,0.000039
768_1408,-0.000391,0.000480
768_1536,-0.000386,0.000362
768_1664,-0.000385,0.000286
768_1792,-0.000383,0.000264
768_1920,-0.000383,0.000210
768_2048,-0.000383,0.000210
896_128,-0.000002,-0.000003
896_256,-0.000004,-0.000078
896_384,-0.000019,0.000002
896_512,-0.000026,0.000182
896_640,-0.000025,0.000129
896_768,0.000033,0.001069
896_896,-0.000191,0.000621
896_1024,-0.001094,-0.002744
896_1152,-0.002001,-0.005756
896_1280,-0.002206,-0.005900
896_1408,-0.002146,-0.005214
896_1536,-0.002147,-0.005230
896_1664,-0.002152,-0.005131
896_1792,-0.002166,-0.005099
896_1920,-0.002168,-0.005182
896_2048,-0.002170,-0.005183
1024_128,-0.000003,-0.000016
1024_256,-0.000018,-0.000044
1024_384,-0.000048,0.000175
1024_512,-0.000062,0.000592
1024_640,-0.000068,0.000483
1024_768,-0.000128,-0.000030
1024_896,-0.000887,-0.003183
1024_1024,-0.004809,-0.027192
1024_1152,-0.008655,-0.049207
1024_1280,-0.009353,-0.051105
1024_1408,-0.009467,-0.051567
1024_1536,-0.009440,-0.051390
1024_1664,-0.009488,-0.051197
1024_1792,-0.009474,-0.050877
1024_1920,-0.009531,-0.051116
1024_2048,-0.009496,-0.051032
1152_128,-0.000004,-0.000028
1152_256,-0.000031,-0.000015
1152_384,-0.000077,0.000347
1152_512,-0.000098,0.001011
1152_640,-0.000110,0.000835
1152_768,-0.000288,-0.001087
1152_896,-0.001583,-0.007017
1152_1024,-0.008429,-0.050820
1152_1152,-0.015049,-0.090852
1152_1280,-0.016328,-0.094948
1152_1408,-0.016530,-0.096147
1152_1536,-0.016548,-0.096023
1152_1664,-0.016566,-0.095491
1152_1792,-0.016609,-0.095254
1152_1920,-0.016635,-0.095280
1152_2048,-0.016639,-0.095303
1280_128,-0.000005,-0.000032
1280_256,-0.000036,-0.000038
1280_384,-0.000097,0.000416
1280_512,-0.000126,0.001327
1280_640,-0.000141,0.001219
1280_768,-0.000326,-0.000447
1280_896,-0.001840,-0.007317
1280_1024,-0.009248,-0.053334
1280_1152,-0.016520,-0.095785
1280_1280,-0.017922,-0.100120
1280_1408,-0.018216,-0.101442
1280_1536,-0.018154,-0.100838
1280_1664,-0.018263,-0.100509
1280_1792,-0.018236,-0.099852
1280_1920,-0.018350,-0.100275
1280_2048,-0.018271,-0.099930
1408_128,-0.000005,-0.000022
1408_256,-0.000035,-0.000077
1408_384,-0.000100,0.000375
1408_512,-0.000130,0.001286
1408_640,-0.000142,0.001216
1408_768,-0.000285,0.000236
1408_896,-0.001818,-0.006405
1408_1024,-0.009529,-0.053891
1408_1152,-0.017018,-0.097258
1408_1280,-0.018519,-0.101726
1408_1408,-0.018683,-0.102171
1408_1536,-0.018702,-0.101938
1408_1664,-0.018727,-0.101258
1408_1792,-0.018788,-0.100993
1408_1920,-0.018816,-0.101093
1408_2048,-0.018822,-0.101110
1536_128,-0.000006,-0.000021
1536_256,-0.000036,-0.000084
1536_384,-0.000098,0.000341
1536_512,-0.000126,0.001192
1536_640,-0.000138,0.001062
1536_768,-0.000268,0.000127
1536_896,-0.001822,-0.006442
1536_1024,-0.009557,-0.053798
1536_1152,-0.017147,-0.097283
1536_1280,-0.018581,-0.101280
1536_1408,-0.018819,-0.102094
1536_1536,-0.018763,-0.101669
1536_1664,-0.018861,-0.101277
1536_1792,-0.018833,-0.100658
1536_1920,-0.018948,-0.101139
1536_2048,-0.018879,-0.100911
1664_128,-0.000006,-0.000031
1664_256,-0.000036,-0.000109
1664_384,-0.000097,0.000325
1664_512,-0.000126,0.001178
1664_640,-0.000137,0.000988
1664_768,-0.000261,0.000053
1664_896,-0.001791,-0.006285
1664_1024,-0.009559,-0.053545
1664_1152,-0.017104,-0.096671
1664_1280,-0.018599,-0.100855
1664_1408,-0.018746,-0.101313
1664_1536,-0.018764,-0.101176
1664_1664,-0.018788,-0.100536
1664_1792,-0.018846,-0.100280
1664_1920,-0.018874,-0.100404
1664_2048,-0.018881,-0.100430
1792_128,-0.000005,-0.000038
1792_256,-0.000035,-0.000104
1792_384,-0.000095,0.000330
1792_512,-0.000123,0.001186
1792_640,-0.000135,0.000976
1792_768,-0.000253,0.000032
1792_896,-0.001765,-0.006217
1792_1024,-0.009471,-0.053149
1792_1152,-0.017041,-0.096361
1792_1280,-0.018432,-0.100116
1792_1408,-0.018657,-0.100967
1792_1536,-0.018591,-0.100476
1792_1664,-0.018700,-0.100199
1792_1792,-0.018670,-0.099570
1792_1920,-0.018784,-0.100050
1792_2048,-0.018705,-0.099715
1920_128,-0.000005,-0.000040
1920_256,-0.000035,-0.000100
1920_384,-0.000095,0.000345
1920_512,-0.000123,0.001192
1920_640,-0.000135,0.000964
1920_768,-0.000253,-0.000024
1920_896,-0.001758,-0.006293
1920_1024,-0.009495,-0.053390
1920_1152,-0.017009,-0.096366
1920_1280,-0.018480,-0.100519
1920_1408,-0.018619,-0.101043
1920_1536,-0.018638,-0.100935
1920_1664,-0.018661,-0.100299
1920_1792,-0.018718,-0.100027
1920_1920,-0.018747,-0.100134
1920_2048,-0.018752,-0.100168
2048_128,-0.000006,-0.000031
2048_256,-0.000036,-0.000089
2048_384,-0.000096,0.000346
2048_512,-0.000123,0.001177
2048_640,-0.000135,0.000957
2048_768,-0.000252,-0.000020
2048_896,-0.001757,-0.006291
2048_1024,-0.009454,-0.053291
2048_1152,-0.017005,-0.096386
2048_1280,-0.018390,-0.100167
2048_1408,-0.018614,-0.101055
2048_1536,-0.018559,-0.100704
2048_1664,-0.018655,-0.100323
2048_1792,-0.018626,-0.099687
2048_1920,-0.018740,-0.100164
2048_2048,-0.018671,-0.099998
