key,real,imag
128_128,-0.000001,0.000009
128_256,-0.000001,0.000007
128_384,-0.000000,-0.000000
128_512,0.000000,-0.000010
128_640,0.000000,-0.000009
128_768,0.000000,0.000003
128_896,0.000001,-0.000000
128_1024,0.000003,-0.000012
128_1152,0.000005,-0.000024
128_1280,0.000006,-0.000029
128_1408,0.000006,-0.000017
128_1536,0.000006,-0.000018
128_1664,0.000006,-0.000028
128_1792,0.000007,-0.000033
128_1920,0.000007,-0.000036
128_2048,0.000006,-0.000027
256_128,-0.000001,0.000007
256_256,-0.000001,0.000014
256_384,-0.000000,0.000016
256_512,0.000000,-0.000006
256_640,0.000000,-0.000017
256_768,0.000001,-0.000051
256_896,0.000008,-0.000073
256_1024,0.000022,-0.000045
256_1152,0.000036,-0.000023
256_1280,0.000042,-0.000053
256_1408,0.000043,-0.000087
256_1536,0.000043,-0.000099
256_1664,0.000044,-0.000122
256_1792,0.000044,-0.000118
256_1920,0.000044,-0.000111
256_2048,0.000043,-0.000104
384_128,0.000000,-0.000000
384_256,0.000000,0.000016
384_384,0.000002,0.000019
384_512,0.000003,0.000004
384_640,0.000003,-0.000033
384_768,0.000009,-0.000071
384_896,0.000034,-0.000001
384_1024,0.000066,0.000153
384_1152,0.000099,0.000293
384_1280,0.000124,0.000325
384_1408,0.000131,0.000273
384_1536,0.000131,0.000243
384_1664,0.000131,0.000228
384_1792,0.000133,0.000239
384_1920,0.000133,0.000253
384_2048,0.000133,0.000254
512_128,0.000000,-0.000010
512_256,0.000000,-0.000006
512_384,0.000002,0.000005
512_512,0.000003,-0.000017
512_640,0.000003,-0.000107
512_768,0.000017,-0.000148
512_896,0.000065,0.000164
512_1024,0.000102,0.000549
512_1152,0.000139,0.000915
512_1280,0.000188,0.001148
512_1408,0.000203,0.001070
512_1536,0.000202,0.001002
512_1664,0.000203,0.000984
512_1792,0.000205,0.001005
512_1920,0.000205,0.001005
512_2048,0.000205,0.000997
640_128,-0.000001,-0.000009
640_256,-0.000000,-0.000016
640_384,0.000004,-0.000031
640_512,0.000007,-0.000105
640_640,0.000008,-0.000262
640_768,0.000033,-0.000253
640_896,0.000062,0.000116
640_1024,0.000036,0.000491
640_1152,0.000010,0.000868
640_1280,0.000042,0.001179
640_1408,0.000067,0.001115
640_1536,0.000067,0.000988
640_1664,0.000070,0.000932
640_1792,0.000074,0.000935
640_1920,0.000074,0.000924
640_2048,0.000074,0.000917
768_128,-0.000001,0.000001
768_256,0.000001,-0.000053
768_384,0.000001,-0.000070
768_512,0.000003,-0.000147
768_640,0.000006,-0.000250
768_768,0.000074,0.000442
768_896,0.000084,0.001057
768_1024,-0.000198,0.000181
768_1152,-0.000476,-0.000559
768_1280,-0.000461,0.000016
768_1408,-0.000389,0.000448
768_1536,-0.000386,0.000339
768_1664,-0.000384,0.000256
768_1792,-0.000384,0.000240
768_1920,-0.000381,0.000181
768_2048,-0.000383,0.000185
896_128,-0.000002,-0.000003
896_256,-0.000005,-0.000077
896_384,-0.000019,0.000003
896_512,-0.000026,0.000182
896_640,-0.000025,0.000124
896_768,0.000032,0.001055
896_896,-0.000194,0.000574
896_1024,-0.001090,-0.002762
896_1152,-0.001989,-0.005751
896_1280,-0.002197,-0.005922
896_1408,-0.002137,-0.005241
896_1536,-0.002138,-0.005261
896_1664,-0.002143,-0.005163
896_1792,-0.002157,-0.005130
896_1920,-0.002159,-0.005213
896_2048,-0.002161,-0.005213
1024_128,-0.000003,-0.000016
1024_256,-0.000018,-0.000044
1024_384,-0.000048,0.000175
1024_512,-0.000062,0.000593
1024_640,-0.000067,0.000474
1024_768,-0.000128,-0.000043
1024_896,-0.000884,-0.003198
1024_1024,-0.004809,-0.027192
1024_1152,-0.008619,-0.049095
1024_1280,-0.009358,-0.051184
1024_1408,-0.009430,-0.051463
1024_1536,-0.009439,-0.051414
1024_1664,-0.009450,-0.051102
1024_1792,-0.009479,-0.050968
1024_1920,-0.009493,-0.051020
1024_2048,-0.009496,-0.051033
1152_128,-0.000004,-0.000028
1152_256,-0.000031,-0.000013
1152_384,-0.000077,0.000347
1152_512,-0.000097,0.001004
1152_640,-0.000109,0.000823
1152_768,-0.000286,-0.001102
1152_896,-0.001575,-0.007002
1152_1024,-0.008395,-0.050694
1152_1152,-0.014989,-0.090632
1152_1280,-0.016262,-0.094704
1152_1408,-0.016463,-0.095910
1152_1536,-0.016481,-0.095795
1152_1664,-0.016498,-0.095270
1152_1792,-0.016541,-0.095033
1152_1920,-0.016567,-0.095058
1152_2048,-0.016571,-0.095081
1280_128,-0.000005,-0.000032
1280_256,-0.000036,-0.000038
1280_384,-0.000096,0.000417
1280_512,-0.000126,0.001326
1280_640,-0.000141,0.001199
1280_768,-0.000326,-0.000471
1280_896,-0.001833,-0.007333
1280_1024,-0.009252,-0.053418
1280_1152,-0.016452,-0.095541
1280_1280,-0.017931,-0.100253
1280_1408,-0.018142,-0.101201
1280_1536,-0.018163,-0.100992
1280_1664,-0.018188,-0.100289
1280_1792,-0.018245,-0.100006
1280_1920,-0.018275,-0.100055
1280_2048,-0.018280,-0.100083
1408_128,-0.000005,-0.000022
1408_256,-0.000035,-0.000074
1408_384,-0.000099,0.000376
1408_512,-0.000130,0.001278
1408_640,-0.000141,0.001196
1408_768,-0.000284,0.000204
1408_896,-0.001812,-0.006430
1408_1024,-0.009491,-0.053774
1408_1152,-0.016948,-0.097022
1408_1280,-0.018444,-0.101485
1408_1408,-0.018608,-0.101942
1408_1536,-0.018626,-0.101723
1408_1664,-0.018652,-0.101051
1408_1792,-0.018711,-0.100787
1408_1920,-0.018740,-0.100884
1408_2048,-0.018746,-0.100901
1536_128,-0.000006,-0.000021
1536_256,-0.000036,-0.000084
1536_384,-0.000097,0.000342
1536_512,-0.000126,0.001193
1536_640,-0.000137,0.001044
1536_768,-0.000268,0.000102
1536_896,-0.001816,-0.006472
1536_1024,-0.009557,-0.053822
1536_1152,-0.017075,-0.097055
1536_1280,-0.018590,-0.101436
1536_1408,-0.018743,-0.101879
1536_1536,-0.018761,-0.101718
1536_1664,-0.018785,-0.101082
1536_1792,-0.018842,-0.100836
1536_1920,-0.018871,-0.100942
1536_2048,-0.018877,-0.100959
1664_128,-0.000006,-0.000031
1664_256,-0.000036,-0.000106
1664_384,-0.000097,0.000327
1664_512,-0.000125,0.001171
1664_640,-0.000136,0.000971
1664_768,-0.000260,0.000023
1664_896,-0.001786,-0.006316
1664_1024,-0.009520,-0.053439
1664_1152,-0.017033,-0.096449
1664_1280,-0.018524,-0.100636
1664_1408,-0.018670,-0.101107
1664_1536,-0.018688,-0.100982
1664_1664,-0.018712,-0.100350
1664_1792,-0.018769,-0.100095
1664_1920,-0.018797,-0.100215
1664_2048,-0.018804,-0.100241
1792_128,-0.000005,-0.000038
1792_256,-0.000035,-0.000103
1792_384,-0.000095,0.000331
1792_512,-0.000123,0.001183
1792_640,-0.000134,0.000958
1792_768,-0.000253,0.000006
1792_896,-0.001760,-0.006248
1792_1024,-0.009476,-0.053247
1792_1152,-0.016969,-0.096142
1792_1280,-0.018441,-0.100273
1792_1408,-0.018582,-0.100762
1792_1536,-0.018601,-0.100655
1792_1664,-0.018624,-0.100014
1792_1792,-0.018680,-0.099750
1792_1920,-0.018708,-0.099863
1792_2048,-0.018714,-0.099895
1920_128,-0.000005,-0.000040
1920_256,-0.000035,-0.000097
1920_384,-0.000095,0.000346
1920_512,-0.000123,0.001185
1920_640,-0.000134,0.000947
1920_768,-0.000252,-0.000053
1920_896,-0.001753,-0.006324
1920_1024,-0.009457,-0.053283
1920_1152,-0.016938,-0.096145
1920_1280,-0.018405,-0.100299
1920_1408,-0.018544,-0.100835
1920_1536,-0.018563,-0.100739
1920_1664,-0.018586,-0.100111
1920_1792,-0.018642,-0.099840
1920_1920,-0.018671,-0.099944
1920_2048,-0.018676,-0.099978
2048_128,-0.000006,-0.000031
2048_256,-0.000036,-0.000090
2048_384,-0.000095,0.000347
2048_512,-0.000123,0.001176
2048_640,-0.000134,0.000939
2048_768,-0.000251,-0.000047
2048_896,-0.001752,-0.006322
2048_1024,-0.009454,-0.053292
2048_1152,-0.016934,-0.096164
2048_1280,-0.018399,-0.100324
2048_1408,-0.018539,-0.100847
2048_1536,-0.018557,-0.100752
2048_1664,-0.018580,-0.100134
2048_1792,-0.018636,-0.099867
2048_1920,-0.018664,-0.099974
2048_2048,-0.018671,-0.099998
