key,real,imag
64_64,-0.000001,0.000004
64_128,-0.000001,0.000008
64_192,-0.000001,0.000007
64_256,-0.000001,0.000011
64_320,-0.000001,0.000016
64_384,-0.000001,0.000012
64_448,-0.000001,0.000011
64_512,-0.000001,0.000013
64_576,-0.000001,0.000010
64_640,-0.000001,0.000011
64_704,-0.000001,0.000020
64_768,-0.000000,0.000023
64_832,-0.000001,0.000015
64_896,-0.000000,0.000009
64_960,0.000000,0.000010
64_1024,0.000001,0.000014
64_1088,0.000002,0.000018
64_1152,0.000003,0.000018
64_1216,0.000003,0.000012
64_1280,0.000003,0.000005
64_1344,0.000003,0.000007
64_1408,0.000004,0.000014
64_1472,0.000004,0.000014
64_1536,0.000004,0.000011
64_1600,0.000004,0.000012
64_1664,0.000004,0.000010
64_1728,0.000004,0.000007
64_1792,0.000004,0.000012
64_1856,0.000003,0.000016
64_1920,0.000004,0.000015
64_1984,0.000003,0.000019
64_2048,0.000003,0.000023
128_64,-0.000001,0.000008
128_128,-0.000001,0.000009
128_192,-0.000001,0.000004
128_256,-0.000001,0.000007
128_320,-0.000001,0.000009
128_384,-0.000000,-0.000000
128_448,0.000000,-0.000007
128_512,0.000000,-0.000010
128_576,0.000000,-0.000015
128_640,0.000000,-0.000009
128_704,0.000000,0.000002
128_768,0.000000,0.000003
128_832,0.000001,0.000000
128_896,0.000002,-0.000000
128_960,0.000003,-0.000002
128_1024,0.000003,-0.000012
128_1088,0.000004,-0.000022
128_1152,0.000005,-0.000024
128_1216,0.000006,-0.000025
128_1280,0.000006,-0.000029
128_1344,0.000006,-0.000027
128_1408,0.000006,-0.000017
128_1472,0.000006,-0.000012
128_1536,0.000006,-0.000018
128_1600,0.000006,-0.000022
128_1664,0.000006,-0.000029
128_1728,0.000007,-0.000036
128_1792,0.000007,-0.000033
128_1856,0.000007,-0.000031
128_1920,0.000007,-0.000036
128_1984,0.000007,-0.000034
128_2048,0.000006,-0.000026
192_64,-0.000001,0.000007
192_128,-0.000001,0.000004
192_192,-0.000000,-0.000001
192_256,-0.000000,0.000004
192_320,-0.000000,0.000006
192_384,0.000000,-0.000001
192_448,0.000001,-0.000014
192_512,0.000001,-0.000028
192_576,0.000001,-0.000034
192_640,0.000001,-0.000039
192_704,0.000001,-0.000051
192_768,0.000002,-0.000063
192_832,0.000004,-0.000068
192_896,0.000007,-0.000066
192_960,0.000011,-0.000065
192_1024,0.000016,-0.000069
192_1088,0.000021,-0.000074
192_1152,0.000025,-0.000076
192_1216,0.000029,-0.000078
192_1280,0.000031,-0.000085
192_1344,0.000031,-0.000098
192_1408,0.000031,-0.000107
192_1472,0.000031,-0.000112
192_1536,0.000031,-0.000120
192_1600,0.000031,-0.000133
192_1664,0.000032,-0.000144
192_1728,0.000033,-0.000150
192_1792,0.000033,-0.000147
192_1856,0.000032,-0.000142
192_1920,0.000033,-0.000148
192_1984,0.000033,-0.000149
192_2048,0.000032,-0.000143
256_64,-0.000001,0.000011
256_128,-0.000001,0.000007
256_192,-0.000000,0.000005
256_256,-0.000001,0.000014
256_320,-0.000001,0.000019
256_384,-0.000000,0.000016
256_448,0.000000,0.000003
256_512,0.000000,-0.000006
256_576,0.000000,-0.000005
256_640,0.000000,-0.000017
256_704,0.000000,-0.000037
256_768,0.000001,-0.000052
256_832,0.000004,-0.000067
256_896,0.000008,-0.000074
256_960,0.000014,-0.000068
256_1024,0.000022,-0.000047
256_1088,0.000031,-0.000028
256_1152,0.000036,-0.000025
256_1216,0.000041,-0.000038
256_1280,0.000042,-0.000056
256_1344,0.000044,-0.000073
256_1408,0.000043,-0.000090
256_1472,0.000044,-0.000101
256_1536,0.000043,-0.000102
256_1600,0.000045,-0.000114
256_1664,0.000044,-0.000125
256_1728,0.000045,-0.000128
256_1792,0.000044,-0.000121
256_1856,0.000045,-0.000113
256_1920,0.000044,-0.000115
256_1984,0.000046,-0.000119
256_2048,0.000044,-0.000107
320_64,-0.000001,0.000016
320_128,-0.000000,0.000009
320_192,-0.000000,0.000006
320_256,-0.000001,0.000019
320_320,-0.000001,0.000033
320_384,-0.000000,0.000033
320_448,0.000000,0.000021
320_512,0.000000,0.000019
320_576,0.000000,0.000019
320_640,0.000000,0.000001
320_704,0.000000,-0.000018
320_768,0.000002,-0.000045
320_832,0.000007,-0.000076
320_896,0.000015,-0.000086
320_960,0.000027,-0.000067
320_1024,0.000041,-0.000036
320_1088,0.000055,-0.000008
320_1152,0.000067,0.000002
320_1216,0.000075,-0.000018
320_1280,0.000080,-0.000055
320_1344,0.000082,-0.000084
320_1408,0.000082,-0.000103
320_1472,0.000082,-0.000118
