key,real,imag
512_512,0.000003,-0.000018
512_1024,0.000117,0.000559
512_1536,0.000229,0.001021
512_2048,0.000232,0.001016
1024_512,-0.000050,0.000608
1024_1024,-0.005537,-0.027707
1024_1536,-0.010824,-0.052378
1024_2048,-0.010873,-0.051987
1536_512,-0.000101,0.001223
1536_1024,-0.010998,-0.054839
1536_1536,-0.021502,-0.103624
1536_2048,-0.021604,-0.102846
2048_512,-0.000099,0.001206
2048_1024,-0.010881,-0.054299
2048_1536,-0.021272,-0.102641
2048_2048,-0.021370,-0.101867
10_10,-0.000000,0.000000
40_50,-0.000000,0.000002
10_50,-0.000000,0.000000
40_10,-0.000000,0.000000
220_50,-0.000001,0.000007
220_10,-0.000000,0.000002
10_50,-0.000000,0.000000
220_320,-0.000000,0.000011
10_320,-0.000000,0.000004
220_1020,0.000020,-0.000059
10_1020,-0.000000,0.000002
