key,real,imag
512_512,-0.002700,-0.001869
512_1024,-0.002700,-0.001869
512_1536,-0.002700,-0.001869
512_2048,-0.002700,-0.001869
1024_512,-0.002700,-0.001869
1024_1024,-0.002700,-0.001869
1024_1536,-0.002700,-0.001869
1024_2048,-0.002700,-0.001869
1536_512,-0.002700,-0.001869
1536_1024,-0.002700,-0.001869
1536_1536,-0.002700,-0.001869
1536_2048,-0.002700,-0.001869
2048_512,-0.002700,-0.001869
2048_1024,-0.002700,-0.001869
2048_1536,-0.002700,-0.001869
2048_2048,-0.002700,-0.001869
10_10,-0.002700,-0.001869
40_50,-0.002700,-0.001869
10_50,-0.002700,-0.001869
40_10,-0.002700,-0.001869
220_50,-0.002700,-0.001869
220_10,-0.002700,-0.001869
10_50,-0.002700,-0.001869
220_320,-0.002700,-0.001869
10_320,-0.002700,-0.001869
220_1020,-0.002700,-0.001869
10_1020,-0.002700,-0.001869
